object_id	object_name	joint_type	selected_joint	selected_link	candidate_id	force_direction_mode	q_start	q_end	delta_q	q_unit	force_magnitude	joint_damping	joint_friction	force_duration_s	actual_sim_duration_s	actual_video_frame_count	settle_time_s	peak_abs_qdot	final_abs_qdot	settled	stopped_because	duration_verdict	visual_verdict	final_acceptance	validation	video
10211	Laptop	revolute	joint_1	link_1	laptop_screen_edge_03	tangent_opening	0.0	0.030785737559199333	0.030785737559199333	radians	5.0	2.0	0.3	0.1	2.5	75	1.5	0.08528188616037369	1.4278604687500973e-10	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	VISUAL_WARN_SUBTLE	PASS	PASS	outputs/laptop_10211_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
10905	Refrigerator	revolute	joint_0	link_0	refrigerator_door_edge_17	tangent_opening	0.0	0.014430016279220581	0.014430016279220581	radians	5.0	2.0	0.3	0.1	2.5	75	1.5	0.034569960087537766	8.39497079141438e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	VISUAL_WARN_SUBTLE	PASS	PASS	outputs/refrigerator_10905_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
11100	Scissors	revolute	joint_0	link_0	scissors_handle_or_blade_06	tangent_closing	0.0	-0.01895938813686371	-0.01895938813686371	radians	5.0	2.0	0.3	0.1	2.8666666666666667	86	1.8666666666666667	0.026477282866835594	7.677398389205337e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	VISUAL_WARN_SUBTLE	PASS	PASS	outputs/scissors_11100_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
45135	StorageFurniture	prismatic	joint_0	link_0	contact_01	prismatic_axis	0.0	0.006594052538275719	0.006594052538275719	meters	5.0	2.0	0.3	0.1	2.7	81	1.6666666666666667	0.008770937100052834	9.346449951408431e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	VISUAL_WARN_SUBTLE	PASS	PASS	outputs/storagefurniture_45135_prismatic_manual_contact_global_impulse_decay_check/final_video.mp4
100109	USB	revolute	joint_0	link_0	usb_cover_tip	tangent_opening	0.0	0.00471944035962224	0.00471944035962224	radians	5.0	2.0	0.3	0.1	2.7	81	1.6666666666666667	0.00482072401791811	9.776712249731645e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	VISUAL_WARN_SUBTLE	PASS	PASS	outputs/usb_100109_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
101917	Oven	revolute	joint_0	link_0	oven_door_edge_03	tangent_opening	0.0	0.009292458184063435	0.009292458184063435	radians	5.0	2.0	0.3	0.1	2.5	75	1.5	0.01927371509373188	9.031814988702536e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	VISUAL_WARN_SUBTLE	PASS	PASS	outputs/oven_101917_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
102255	FoldingChair	revolute	joint_1	link_1	foldingchair_surface_08	tangent_opening	0.0	0.01067353691905737	0.01067353691905737	radians	5.0	2.0	0.3	0.1	2.5	75	1.5	0.034953802824020386	5.754654193879105e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	VISUAL_WARN_SUBTLE	PASS	PASS	outputs/foldingchair_102255_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
103111	Stapler	revolute	joint_1	link_1	stapler_lid_front_top_14	tangent_opening	0.0	0.01341317594051361	0.01341317594051361	radians	5.0	2.0	0.3	0.1	3.5	105	2.5	0.011193876154720783	9.803289140108973e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	VISUAL_WARN_SUBTLE	PASS	PASS	outputs/stapler_103111_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
103706	Knife	prismatic	joint_0	link_0	knife_prismatic_point_01	prismatic_axis	0.0	0.03843575343489647	0.03843575343489647	meters	5.0	2.0	0.3	0.1	2.8333333333333335	85	1.8	0.06143757700920105	4.893172445008531e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	VISUAL_PASS	PASS	PASS	outputs/knife_103706_prismatic_manual_contact_global_impulse_decay_check/final_video.mp4
103776	WashingMachine	revolute	joint_0	link_0	washingmachine_door_rim_13	tangent_opening	0.0	0.0595952607691288	0.0595952607691288	radians	5.0	2.0	0.3	0.1	2.5	75	1.5	0.27827638387680054	8.418404168208937e-11	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	VISUAL_PASS	PASS	PASS	outputs/washingmachine_103776_revolute_manual_contact_global_impulse_decay_check/final_video.mp4
